Partitioning data,Previous Mannion completeness score,"Inclusion reasons: New [N]; New sauropodomorph, old specimen [Nos]; New specimens [ns]; Species-level rescore [S]; Reinput [R]",Clade 1,Clade 2,Clade 3,Clade 4,Clade 5,Clade 6,Clade 7,Clade 8,Clade 9,Clade 10,Clade 11,Clade 12,Clade 13,Clade 14,Clade 15,Taxa,Genus,Species,Key papers,Specimen type,Specimen No.,Type of preservation,Elements,Skull,Mandible,Cervical vertebrae,Dorsal vertebrae,Sacral vertebrae,Caudal vertebrae,Chevrons,Cervical.ribs,Dorsal.ribs,Scapulae,Coracoids,Sternum,Humeri,Ulnae,Radii,Carpals,Metacarpals,Manus.digits,Ilia,Pubes,Ischia,Femora,Tibiae,Fibulae,Tarsals,Metatarsals,Pes.digits,TOTAL
-,,,Sauropodomorpha,,,,,,,,,,,,,,,,,,,,,,BP %:,6,4,12,7.5,5,15,5,3,7.5,3,1,1,4,2,2,1,2,1,2,2,2,4,2,2,1,1.5,1.5,100
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Holotype,BP/1/6254 and BP/1/6505,3D / disarticulated,75% left maxilla (in 2 parts),0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/5379a-f,3D / disarticulated,CRANIUM: ~complete basioccipital; AXIAL SKELETON: ~complete first primordial sacral rib (assigned to the right); APPENDICULAR SKELETON: complete left ulna and radius; left metacarpal I; distal end of right tibia (25%); (all surface collected before excavation began); ,0.133333333,0,0,0,0.2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0.25,0,0,0,0,3.583333333
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6238,3D,left caudal dorsal rib (75%),0,0,0,0,10,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1875
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6239,3D,right middle dorsal rib (75%),0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6240,3D,right middle dorsal rib (75%),0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6241,3D,dorsosacral centrum,0,0,0,0.2625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2625
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6242,3D,right middle dorsal rib (75%),0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6243,3D,dorsal rib fragments (~25% to the ~right),0,0,0,0,0,0,0,0,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.075
,,N,Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,Aardonyx,celestae,"Yates et al. 2010. A new transitional sauropodomorph dinosaur from the Early Jurassic of South Africa and the evolution of sauropod feeding and quadrupedalism. Proceedings of the Royal Society B. 277(1682), 787-794.",Refrerred,BP/1/6244,3D,chevron,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125
