Clade 1,Clade 2,Clade 3,Clade 4,Clade 5,Clade 6,Clade 7,Clade 8,Clade 9,Clade 10,Clade 11,Clade 12,Clade 13,Clade 14,Clade 15,Taxa,valid species (v); valid genera (vg); indeterminate (i),"Data derived: M&U [Mannion and Upchurch (2010) dataset]; R [Revised specimen ident. since M&U or species excluded in M&U, but no completeness calculation needed as specimen scores provided in Mannion's database]; N/R [New taxa, reinput taxa, additional specimens for taxa, revised specimen ident. etc since M&U, with completeness calculated in this dataset]",Year,SCM2,Hemisphere,Continent,Country,Modern latitude,Palaeolatitude,Group,Formation,Member,Period,Epoch,Stage 1,Stage 2,Stage no,Max_ma,Min_ma,Conservation,Concentration,Body Mass (Benson et al. 2018),Facies,Classification,Primary lithology,Setting 1,Setting 2,Setting 3,Setting 4,Coarse category,Eliason et al. (2017) category,M&U category,
Sauropodomorpha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sauropodomorpha,,,,,,,,,,,,,,,Aardonyx celestae,v,N / R,2010,32.6733125,S,Africa,South Africa,-28.466389,-42.64,Stormberg,Elliot,Upper,Jurassic,Early,Hettangian,Sinemurian,2,201.3,190.8,0,0,,Terrestrial,Siliclastic,Mudstone,Fluvial channel,,,,Fluvio-lacustrine,Fluvial,Inland,-
Sauropodomorpha,Massopoda,Massospondylidae,,,,,,,,,,,,,Adeopapposaurus mognai,v,N / R,2009,91.525,S,South America,Argentina,-30.5,-33.25,,Canon del Colorado,Upper Pelitic (Miembro medio),Jurassic,Early,Hettangian,Toarcian,4,201.3,174.1,0,0,39.60017701,Terrestrial,Siliclastic,Sandstone,Lacustrine,,,,Fluvio-lacustrine,Lacustrine,Inland,-
Sauropodomorpha,Massopoda,Sauropodiformes,,,,,,,,,,,,,Ammosaurus major,v,N / R,1891,43.22008333,N,North America,USA,41.809765,23.5,Agawam,Portland,,Jurassic,Early,Hettangian,Sinemurian,2,201.3,190.8,0,0,235.6013484,Terrestrial,Siliclastic,Sandstone,Fluvial channel,Lacustrine,,,Fluvio-lacustrine,Fluvial,Inland,-
Sauropodomorpha,Massopoda,Sauropodiformes,,,,,,,,,,,,,Anchisaurus polyzelus,v,N / R,1885,44.05566667,N,North America,USA,42.1,23.8,Agawam,Portland,,Jurassic,Early,Hettangian,Sinemurian,2,201.3,190.8,0,0,,Terrestrial,Siliclastic,Sandstone,Fluvial channel,Lacustrine,,,Fluvio-lacustrine,Fluvial,Inland,-
Sauropodomorpha,,,,,,,,,,,,,,,Arcusaurus pereirabdalorum,v,N / R,2011,3.387333333,S,Africa,South Africa,-28.466667,-42.64,Stormberg,Elliot,Upper,Jurassic,Early,Hettangian,Sinemurian,2,201.3,190.8,0,0,,Terrestrial,Siliclastic,Mudstone,Fluvial channel,,,,Fluvio-lacustrine,Fluvial,Inland,-
Sauropodomorpha,,,,,,,,,,,,,,,Asylosaurus yalensis,v,M&U,2007,20,N,Europe,England,51.469166,34.19,,Magnesian Conglomerate,,Triassic,Late,Rhaetian,,1,208.5,201.3,0,0,,Terrestrial,Siliclastic,Breccia,Trap/Fill,,,,Trap/Fill,Terrestrial other,Inland,-
Sauropodomorpha,,,,,,,,,,,,,,,Bagualosaurus agudoensis,v,N / R,2018,23.38004167,S,South America,Brazil,-29.7,-39.7,Candel·ria,Santa Maria,Alemoa,Triassic,Late,Carnian,,1,237,228.4,0,0,33.41859117,Terrestrial,Siliclastic,Mudstone,Alluvial plain,,,,Fluvio-lacustrine,Fluvial,Inland,-
Sauropodomorpha,Massopoda,Sauropodiformes,,,,,,,,,,,,,Blikanasaurus cromptoni,v,M&U,1985,4,S,Africa,South Africa,-30.566668,-52.22,Stormberg,Elliot,Lower,Triassic,Late,Norian,Rhaetian,2,227,201.3,0,0,,Terrestrial,Siliclastic,?,Fluvial channel,Alluvial plain,,,Fluvio-lacustrine,Fluvial,Inland,-
Sauropodomorpha,,,,,,,,,,,,,,,Buriolestes schultzi,v,N / R,2016,66.55195833,S,South America,Brazil,-29.7,-39.7,Candel·ria,Santa Maria,Alemoa,Triassic,Late,Carnian,,1,237,228.4,0,0,34.0262786,Terrestrial,Siliclastic,Mudstone,Alluvial plain,,,,Fluvio-lacustrine,Fluvial,Inland,-
